sample-id	AvgSpotLen	Bases	BioSample	Bytes	Experiment	Library Name	Sample Name	SRA Study
SRR5181558    496     98644215        SAMN06167590  58291658        SRX2497680    Sample8_repl3 Site8 SRP096885
SRR5181559    496     114827099       SAMN06167590  67763180        SRX2497681    Sample8_repl2 Site8 SRP096885
SRR5181560    497     66352808        SAMN06167590  39078443        SRX2497682    Sample8_repl1 Site8 SRP096885
SRR5181561    488     35386291        SAMN06167589  21776576        SRX2497683    Sample7_repl3 Site7 SRP096885
SRR5181562    487     42579908        SAMN06167589  26307651        SRX2497684    Sample7_repl2 Site7 SRP096885
SRR5181563    485     69248953        SAMN06167589  38837522        SRX2497685    Sample7_repl1 Site7 SRP096885
SRR5181564    496     49928519        SAMN06167588  30779767        SRX2497686    Sample6_repl3 Site6 SRP096885
SRR5181565    498     40460822        SAMN06167588  25011727        SRX2497687    Sample6_repl2 Site6 SRP096885
SRR5181566    488     32148174        SAMN06167588  18336056        SRX2497688    Sample6_repl1 Site6 SRP096885
SRR5181567    500     64543452        SAMN06167587	36913089        SRX2497689    Sample5_repl3 Site5 SRP096885
SRR5181568    497     9366938	SAMN06167587 5887417 SRX2497690    Sample5_repl2 Site5 SRP096885
SRR5181569    487     49754063        SAMN06167587  30827297        SRX2497691    Sample5_repl1 Site5 SRP096885
SRR5181570    496     99318646        SAMN06167586  58731846        SRX2497692    Sample4_repl3 Site4 SRP096885
SRR5181571    496     76160167        SAMN06167586  45201511        SRX2497693    Sample4_repl2 Site4 SRP096885
SRR5181572    498     113261379       SAMN06167586  67250802        SRX2497694    Sample4_repl1 Site4 SRP096885
SRR5181573    499     23123019        SAMN06167585  14333462        SRX2497695    Sample3_repl3 Site3 SRP096885
SRR5181574    492     24342780        SAMN06167585  15213020        SRX2497696    Sample3_repl2 Site3 SRP096885
SRR5181575    490     62849051        SAMN06167585  35962677        SRX2497697    Sample3_repl1 Site3 SRP096885
SRR5181576    496     14726026        SAMN06167584  9214184 SRX2497698    Sample2_repl3 Site2 SRP096885
SRR5181577    496     32332587        SAMN06167584  20121336        SRX2497699    Sample2_repl2 Site2 SRP096885
SRR5181578    490     63542472        SAMN06167584  36301607        SRX2497700    Sample2_repl1 Site2 SRP096885
SRR5181579    497     78720444        SAMN06167583  46878848        SRX2497701    Sample1_repl3 Site1 SRP096885
SRR5181580    495     46699183        SAMN06167583  27944549        SRX2497702    Sample1_repl2 Site1 SRP096885
SRR5181581    496     76811107        SAMN06167583  45743669        SRX2497703    Sample1_repl1 Site1 SRP096885
