Feature ID	Taxon	Confidence
76b54b6dbd5b528e0c32926ab61ddfb6	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.9998880323864016
96dfccaf67381ea021ff32ea254e1b9f	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.9999805839866285
a3943cc7b26e3a11e85cf70577550f77	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__	0.9997634296682401
aa2324e64353334beb372c4ee18ab079	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__; s__	0.8970179072125344
fcd45bfad1274799095c870782057bea	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__	0.9999907183891863
5cad5c24ef29746a1741bf172d96c37b	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__	0.9978542204693854
ce3ccb1fafed335814492a265fcdd528	k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__	0.9968952733861589
bb362b21058c3aa13990a3c2483e8bc4	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.9999903099975396
2769d712c147723493cc4056728973c9	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.9999700913580278
25acea72c6f6dc020493cfa8db2e714d	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae	0.9973774802739666
ccbd93034f30c3093df5195e5eb16ecd	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__; s__	0.9524348512429414
cf1767a82e5bd53e2374c9630db4960e	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__	0.9981954051442014
35d6a3cdc3f9bda4dd4d173301a12a08	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__	0.9907772409226975
965c0a41d3d4918c91a72a1b2b224fae	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__	0.9787801241736797
dc4aa1736f4a3962cd227f304c2de55b	k__Bacteria; p__AD3; c__JG37-AG-4; o__; f__; g__; s__	0.9269607416823957
1940be0ef5515bb1c1fd7496bc91c443	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__	0.9994139085183301
d1904e838f03a7a3458278a00815b593	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__	0.9984543802730463
a3c934e0d9d77d82d6b6f53b3c4b562d	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__	0.9889811550778931
b426815079960f5c09b4247a3a2f293c	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__	0.9450717189790431
01b8232cd25a579556745f6eaada39a6	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__; s__	0.9358698971108217
9f497fcb0ae381a4024837bcd1e5ffa2	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	0.9999850468207645
664b8e48f7c3892bfc5e106848e6ef33	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__	0.9748252323587514
00b82a47f548c06761d95f771b0e2b23	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__	0.9999922008705674
9d45bd65e2fd76cd409821d0f226f4ad	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__	0.9652026132077366
